year,city,country,avg_temp
1931,Warsaw,Poland,6.89
1932,Warsaw,Poland,7.84
1933,Warsaw,Poland,6.22
1934,Warsaw,Poland,9.04
1935,Warsaw,Poland,7.52
1936,Warsaw,Poland,8.23
1937,Warsaw,Poland,8.26
1938,Warsaw,Poland,8.26
1939,Warsaw,Poland,8.46
1940,Warsaw,Poland,5.45
1941,Warsaw,Poland,5.71
1942,Warsaw,Poland,6.20
1943,Warsaw,Poland,8.00
1944,Warsaw,Poland,7.93
1945,Warsaw,Poland,7.62
1946,Warsaw,Poland,7.61
1947,Warsaw,Poland,7.04
1948,Warsaw,Poland,8.21
1949,Warsaw,Poland,8.54
1950,Warsaw,Poland,8.02
1951,Warsaw,Poland,8.38
1952,Warsaw,Poland,7.10
1953,Warsaw,Poland,7.93
1954,Warsaw,Poland,7.03
1955,Warsaw,Poland,7.45
1956,Warsaw,Poland,5.97
1957,Warsaw,Poland,8.30
1958,Warsaw,Poland,7.45
1959,Warsaw,Poland,8.17
1960,Warsaw,Poland,7.88
1961,Warsaw,Poland,8.52
1962,Warsaw,Poland,6.90
1963,Warsaw,Poland,6.56
1964,Warsaw,Poland,7.11
1965,Warsaw,Poland,6.01
1966,Warsaw,Poland,8.19
1967,Warsaw,Poland,8.59
1968,Warsaw,Poland,7.85
1969,Warsaw,Poland,6.40
1970,Warsaw,Poland,6.73
1971,Warsaw,Poland,7.86
1972,Warsaw,Poland,7.75
1973,Warsaw,Poland,7.85
1974,Warsaw,Poland,8.55
1975,Warsaw,Poland,8.98
1976,Warsaw,Poland,7.02
1977,Warsaw,Poland,8.19
1978,Warsaw,Poland,6.88
1979,Warsaw,Poland,6.96
1980,Warsaw,Poland,6.53
1981,Warsaw,Poland,7.77
1982,Warsaw,Poland,8.28
1983,Warsaw,Poland,8.90
1984,Warsaw,Poland,7.92
1985,Warsaw,Poland,6.65
1986,Warsaw,Poland,7.30
1987,Warsaw,Poland,6.32
1988,Warsaw,Poland,8.05
1989,Warsaw,Poland,9.43
1990,Warsaw,Poland,9.20
1991,Warsaw,Poland,7.90
1992,Warsaw,Poland,8.65
1993,Warsaw,Poland,7.67
1994,Warsaw,Poland,8.78
1995,Warsaw,Poland,8.16
1996,Warsaw,Poland,6.71
1997,Warsaw,Poland,7.81
1998,Warsaw,Poland,8.17
1999,Warsaw,Poland,8.96
2000,Warsaw,Poland,9.56
2001,Warsaw,Poland,8.26
2002,Warsaw,Poland,9.14
2003,Warsaw,Poland,8.22
2004,Warsaw,Poland,8.33
2005,Warsaw,Poland,8.43
2006,Warsaw,Poland,8.64
2007,Warsaw,Poland,9.32
2008,Warsaw,Poland,9.51
2009,Warsaw,Poland,8.50
2010,Warsaw,Poland,7.67
2011,Warsaw,Poland,8.84
2012,Warsaw,Poland,8.48
2013,Warsaw,Poland,9.32
